text,label,source
"حسم ميلان دربي مدينة ميلانو لصالحه وتغلب الأحد على جاره ومضيفه إنتر ميلان -حامل اللقب في الأعوام الخمسة الأخيرة- بهدف نظيف، وذلك على ملعب ""جوزيبي مياتزا"" في ختام المرحلة الـ12 من الدوري الإيطالي لكرة القدم.",1,aljazeera.net
أعلنت وزارة الخارجية الأفغانية استدعاء سفيرها لدى إسلام آباد للتشاور عقب تصريحات لرئيس الوزراء الباكستاني عمران خان، اعتبرتها تدخلا في شؤونها.,1,arabic.rt.com
"قررت وكالة ""ليبيا برس"" إغلاق مكتبها بالعاصمة طرابلس تمهيدا للعمل بعدد من العواصم الأوروبية وذلك بسبب تضييقات أمنية متصاعدة يتعرض لها مراسلوها وبعد أن أبلغت الجهات الأمنية في البلاد مسؤولي شركة الغد بعدم رغبتهم بأي وجود للوكالة داخل ليبيا.",1,aljazeera.net
"” محمد رشوان “ سبب شهرته يرجع لأولمبيّاد لوس أنجلوس 1984 , محمد رشوان وصل للنهائي ضد واحد ياباني ( بطل العالم) . 
المصري محمد رشوان تعمّد الخساره قدّامه والسبب ان الياباني في بداية المباراه اتصاب في احد رجليه فرفض محمد رشوان انّه يكسب واحد مصاب
 دة غير انه السبب فى ان 3000 شخص يابانى اسلم بسبب المباره دى لما سالوه فى مؤتمر صحفى فى اليابان انت ليه رفض تضربه فى رجله المصابه ؟
 “ ابتسم وقال دينى يمنعنى عن ايذائه “",0,fatabyyano
الشاب البريطاني الذي ينحدر من مدينة أكسفورد، والبالغ من العمر 21 عاما، والذي سافر إلى منطقة سيطرة تنظيم الدولة الإسلامية في سوريا في 2014، يروي لبي بي سي قصة احتجاز القوات الكردية له.,1,bbc.com
ذكرت الحكومة الأسترالية اليوم أنها ستستأنف الضربات الجوية في سوريا لتنهي تعليقا دام يومين للضربات بعدما هددت روسيا طائرات التحالف الذي تقوده واشنطن عقب إسقاطه مقاتلة سورية.,1,arabic.rt.com
اعلن ميخاي غيمبو القائم باعمال الرئيس المولدافي في كلمة متلفزة القاها يوم 28 سبتمبر/أيلول، انه وقع مرسوما يقضي بحل البرلمان ويحدد موعدا لانتخابات برلمانية مبكرة، مما يعني ان العد التنازلي للحملة الانتخابية التي ستستمر شهرين قد بدأ.,1,arabic.rt.com
"صور تتحدث عن استخدام طائرات مصيره تستخدم الليزر في أحداث الحرائق في جميع قارات العالم

والمستفيد هو المخترع (إسرائيل)
قامت بحرق اكثر من ٤ غابات وتستمر في ذالك ولا يشعر بها احد
فقط ضوء احمر ينزل في نقطه على الأرض لتحترق
بدأت جميع حرائق كاليفورنيا واليونان الأخيرة باستخدام الليزر المباشر للطاقة كما هو موضح في هذه الصورة",0,fatabyyano
بينت دراسات منظمة الصحة العالمية أن أنواعا جديدة من بكتيريا المكورات العنقودية الذهبية في الأبقار تملك مقاومة للمضادات الحيوية الحديثة.,1,arabic.rt.com
"المرشح الأميريكي جو بايدن يغرد على حسابه في موقع ""تويتر"" قائلاً ""عندما كنت في كينوشا، لم أرَ هناك نصف الضرر الذي يشير إليه ترامب، فهو يحب دوما بأن يلقي اللوم على فكرة كونها مدناً  يديرها ديمقراطيون. إلا أن ما لاحظته في كينوشا كان عدد السود أقل منه في المدن الكبرى؛ ما يعني نهبًا أقل. لذلك لا يستطيع أن يقول أن المشاكل هي فقط بسبب توجهات من يدير تلك المدن والدول"".
",0,misbar
أعلن نادي تشيلسي، متصدر الدوري الإنجليزي الممتاز لكرة القدم، رحيل قائده جون تيري عن صفوف البلوز، في نهاية الموسم الجاري.,1,arabic.rt.com
تعرض اثنان من مشجعي نادي باريس سان جيرمان إلى حادثة طعن، على مقربة من ملعب كامب نو، أثناء المباراة التي جمعت النادي الفرنسي ببرشلونة في دوري أبطال أوروبا لكرة القدم.,1,arabic.rt.com
"فتـاة أردنية تتـرك رسـالة تهـز العـالم قبـل انتحارهـا..!
أقدمت فتاة أردنية شابة تدعى ميساء شاروف تبلغ من العمر 18 عاماً على الانتحار بعد أن تعرضت للضرب المبرح من قبل شقيقها، وذلك إثر معرفته بأنها تقدم على تدخين السجائر",0,Akeed
أعلن نادي لاس بالماس الإسباني، اليوم الثلاثاء، عن استقالة مدربه مانولو ماركيز (49 عاما) من منصبه، وذلك بعد خوضه 6 مباريات فقط في الدوري الإسباني لكرة القدم.,1,arabic.rt.com
"نشرت جريدة ""المصري اليوم"" يوم الخميس 18 ديسمبر إن وزارة الآثار المصرية قالت إنها أوقفت التعاون مع بعثة جامعة بريغهام يونغ الأمريكية بسبب إطلاقها شائعة عثورها على مليون مومياء بمصر.",1,arabic.rt.com
نقلت إذاعة الجيش الإسرائيلي عن مصادر فلسطينية أن مسؤولين سعوديين اقنعوا الرئيس الأمريكي دونالد ترامب بعدم الاستعجال في نقل السفارة الأمريكية إلى القدس.,1,arabic.rt.com
"النايل سات يسجل 85 مليون مشاهدة لبرنامج الرئيس مع يعقوب السعدي، كأكبر مشاهدة لبرنامج منذ إنشاء التلفزيون 1960.
",0,misbar
"كشفت صحيفة ""إسرائيل اليوم"" في عددها الصادر اليوم الأربعاء عن تنامي قلق القيادة العسكرية الإسرائيلية من تأخر وصول المقاتلة الأميركية أف35 المعروفة باسم الشبح والتي تعتبرها إسرائيل أداتها المستقبلية للحفاظ على تفوقها النوعي في المنطقة.",1,aljazeera.net
نشرت ملكة جمال العراق لعام 2017 سارة عيدان، أمس الاثنين مقطع فيديو وصورا تجمعها بملكة جمال إسرائيل أثناء زيارة تقوم بها للدولة العبرية.,1,arabic.rt.com
اشارت دراسة امريكية أجريت مؤخرا الى ان الاطفال الذين يتقيدون بمواعيد النوم أنجح من غيرهم في تعلم اللغات والقراءة والحساب.,1,arabic.rt.com
“قبل عدة ساعات من الآن اندونيسيا نيزك مدينة بنجكولو شمال غرب جاكرتا اندونيسيا 🌠 نذر من رب العالمين”,0,fatabyyano
"كشفت تقارير صحفية أن النجم الأرجنتيني في فريق برشلونة الإسباني، ليونيل ميسي، سيبذل قصارى جهده من أجل إخراج زميله السابق في الفريق الكتالوني والنجم البرازيلي رونالدينيو من السجن.
ووفقا لتغريدة على موقع ""تيم توك""، وتقارير أخرى، فإن ليونيل ميسي يبدو مستعدا في الوقت الحالي لمساعدة رونالدينيو من خلال الاستعانة بفريق من المحامين ودفع حوالي 4.5 ملايين دولار لإخراج نجم المنتخب البرازيلي السابق من السجن.",0,misbar
"سبحان الله العظيم خروج أكبر ثعبان على كوكب الارض في شواطئ مدينة تورنتو التايلاندية
",0,misbar
توصل علماء من جامعة أوميو السويدية إلى نتائج تبين خطرا جديدا من أخطار التدخين على صحة الإنسان.,1,arabic.rt.com
نيويورك، الولايات المتحدة الأمريكية (CNN)— قال فيصل استرابادي، النائب السابق لممثل العراق الدائم في الأمم المتحدة، إن الجميع يطالب بحكومة تكنوقراط، ولكن المشكلة الأساسية هي بعدم وجود اتفاق على جوهر والطريقة التي ستبنى فيها هذه الحكومة وخصوصا الوزارات والعاملين بها.,1,arabic.cnn.com
شكل الخطاب الأخير للعاهل المغربي الملك محمد السادس، في قمة الخليج، حدثا استثنائيا بكل المقاييس,1,arabic.cnn.com
"رئيس الاتحاد الدولي لكرة القدم ""الفيفا"" يقترح إجراء تعديلات بحيث يشارك 48 منتخبا في بطولة نهائيات كأس العالم.",1,bbc.com
قال وزير الدولة للشؤون الخارجية الأوغندي هنري أوكيلو أوريم إن بلاده تدرس إمكانية منح اللجوء للرئيس السوداني المعزول عمر البشير المطلوب للمحكمة الجنائية الدولية.,1,arabic.rt.com
أعلن مركز المصالحة الروسي في حميميم أن القوات السورية تسيطر بالكامل على أكثر من 95% من مدينة حلب السورية.,1,arabic.rt.com
أعلنت روسيا وتركيا وإيران، اليوم الأربعاء، أنها تعتبر عملية أستانا صيغة ناجحة وحيدة للمفاوضات حول تسوية الأزمة السورية.,1,arabic.rt.com
"عددت صحيفة ""XDA Developers"" المهتمة بشؤون التقنية بعض الخصائص المهمة والجديدة، التي ستأتي في النسخة القادمة من نظام التشغيل أندرويد.",1,arabic.rt.com
مسافر عبر الزمان في مباراة مايك تايسون؟!,0,misbar
أعلن الرئيس الأوكراني المعين ألكسندر تورتشينوف أن الجيش الأوكراني لن يتدخل في جمهورية القرم، حيث سيصوت ناخبوها الأحد 16القادم في استفتاء حول انضمام الإقليم إلى روسيا.,1,arabic.rt.com
شهدت العاصمة الروسية موسكو صباح الجمعة 29 أبريل/نيسان بروفات للاستعراض العسكري بمناسبة الذكرى الـ71 لعيد النصر على النازية في الحرب الوطنية العظمى.,1,arabic.rt.com
"رفعت مزيد من عوائل ضحايا كارثة طائرة شركة ""ليون آير"" الإندونيسية دعاوى ضد شركة ""بوينغ"" بعد اعتذار إدارتها عن الكارثتين اللتين طالتا طائرتين من طراز ""737 ماكس"" خلال 4 أشهر.",1,arabic.rt.com
"بناء تمثال ضخم لـ""صدام"" في هذه الدولة العربية!
قرر عدد كبير من الجالية العراقية في الاردن برئاسة ابنة الديكتاتور العراقي ""رغد صدام"" التبرع بـ25 مليون دولار لشراء قطعة أرض كبيرة قرب مدخل عمان وإقامة تمثال بطور 25 متر برونزي لرئيس النظام البعثي البائد ""صدام حسين""
وقد وافقت الحكومة الاردنية على بناء التمثال على أن تتولى قوات الامن الاردنية حماية قطعة الارض والتمثال الذي سيزن 18 طن من البرونز والحديد المصفح.
ولكن لم يصدر تعليق رسمي من الحكومة الاردنية حتى الآن، كما لم تعلق بغداد على الامر الذي بالتأكيد سيثير حفيظة الكثير من العراقيين الذين قضى الآلاف من اقاربهم على يد المجرم ""صدام"" ونظامه البائد.",0,Akeed
"اتفق ""تحالف البناء"" الذي يضم أحزابا شيعية وسنية على دعم مرشح الحزب الديمقراطي الكردستاني فؤاد حسين لمنصب الرئاسة في العراق.",1,arabic.rt.com
"أعلن مصنع غوركي الروسي لصناعة السيارات ""غاز"" عن بدء إنتاج جيل جديد مميز من حافلات النقل الصغيرة والمتوسطة.",1,arabic.rt.com
السلطات الطبية في هايتي تعلن ان حصيلة الوفيات بسبب وباء الكوليرا تجاوزت 250 شخصا، لكنها أضافت ان انتشار الوباء قد يكون استقر.,1,bbc.com
أحدث الأرقام يكشف عن انخفاض قياسي في معدلات البطالة في ألمانيا. وتشير الأرقام أيضا إلى ارتفاع كبير في مبيعات السيارات الجديدة في البلاد.,1,bbc.com
تبذل الولايات المتحدة الأمريكية جهودا لعرقلة تنفيذ المشروع الدولي بشأن انشاء مرصد فضائي ، وذلك بحظرها توريد أجهزة قياس الاشعاعات الى روسيا.,1,arabic.rt.com
أعلن المحامي الهندي بيوش سينغ اليوم الثلاثاء أن الشرطة الهندية فتحت تحقيقا بحق نجمة كرة المضرب الروسية ماريا شارابوفا، وذلك على خلفية توقف مشروع سكني فاخر كانت من رعاته.,1,arabic.rt.com
"حذرت الصحف البريطانية اليوم الأحد من أن الوقت لا يزال مبكرا على إعلان النصر على الإرهابيين في أعقاب اعتقال كل المشتبه في مشاركتهم بمحاولة تفجير وسائل النقل البريطانية الأخيرة, كما تطرقت إلى الانشقاق الذي كان بين مساعدي بلير بشأن غزو العراق, وتناولت هجوما عنصريا قتل فيه أحد السود في بريطانيا.",1,aljazeera.net
"في الهند أفعى بسبع رؤوس
حية كوبرا بثلاث رؤوس في الهند",0,fatabyyano
"إسلام أول صينية بعد الكورونا

لا تجعلها تمر قبل أن تقول الله أكبر",0,fatabyyano
قناة إسرائيلية أرادت أن تعمل لقاء مع كريستيانو رونالدو فقام الأخير بالإمساك بمايكروفون المذيع وإلقائه في الماء.,0,misbar
المجلس العسكري الحاكم الجديد في تايلاند يقرر حل مجلس الشيوخ في خطوة اخرى لتعزيز سلطة الجيش بعد الانقلاب الذي قامت به قوات الجيش التايلاندي الخميس الماضي.,1,bbc.com
الاستعدادات في لبنان تتواصل لاستقبال الرئيس الإيراني محمود احمدي نجاد الذي يبدأ يوم الأربعاء زيارة رسمية يلتقي خلالها كبار المسؤولين.,1,bbc.com
أكد الظهير الأيسر لنادي توتنهام ومنتخب إنجلترا، داني روز، أنه يتطلع قدما لإنهاء مسيرته بسبب العنصرية المتزايدة في ملاعب كرة القدم وضعف الإجراءات للحد منها.,1,arabic.rt.com
"الرئيس المصري والعاهل الأردني يؤكدان التزامهما بحل الدولتين للصراع الإسرائيلي الفلسطيني، وأن ""هذا من الثوابت القومية""، بحسب بيان الرئاسة المصرية.",1,bbc.com
"مسلسل الكرتون الامريكى سيمبسون يتنبأ باحداث الفوضى والمظاهرات فى امريكا اللى بتحصل اليومين دول وحرق مقر شرطة سبرينجفيلد !!
ودى مش اول مرة شوفوا التنبؤات الغريبة دى كلها هل معقول كل ده صدفة !!
كل حاجة منهم حصلت بعد تصوير المسلسل بسنين !",0,misbar
شاهد: إنه وقت الحب، شعار النساء ببولندا في اليوم العالمي للمرأة,1,arabic.euronews.com
استطلاعات راي تشير الى استعادة المحافظين المؤيدين لخطة الانقاذ المالي وشرطها لمزيد من التأييد مقابل القوى المعارضة للتقشف.,1,bbc.com
دعا وفد ملتقى الحوار الوطني السوري بعد لقائه نائب وزير الخارجية الروسي ميخائيل بوغدانوف، إلى لقاء تشاوري ثالث للمعارضة السورية في موسكو.,1,arabic.rt.com
شاهد: وصول أكبر ديناصور في العالم إلى متحف بشيكاغو,1,arabic.euronews.com
"“الان في امريكا اعمال شغب بعد انهيار اقتصادها”
أعمال شغب ومظاهرات تجتاح أمريكا بعد انهيار اقتصادها بعد أزمة كورونا",0,fatabyyano
في مؤشر جديد إلى انفراج العلاقات بين الصين والهند، السلطات الصينية تفتتح الإثنين معبرا بريا جديدا الى اقليم التبت للزائرين الهنود الذين يرغبون في زيارة واحد من أكثر المزارات الهندوسية والبوذية قداسة.,1,bbc.com
تفيد معطيات رسمية فلسطينية بأن سلطات الاحتلال أصدرت خلال العامين الأخيرين نحو 250 قرار حبس منزلي، أغلبها في مدينة القدس.,1,aljazeera.net
"أعلنت عضو مجلس الشيوخ، الديمقراطية، كيرستن غيليبراند، المعروفة بانتقادها للرئيس دونالد ترامب ومناصرتها القضايا النسائية، ومنها حركة ""مي تو""، أعلنت اليوم ترشحها للانتخابات الرئاسية.",1,arabic.rt.com
"قال مستشار مجموعة ""غيوس GEOS"" والمسؤول السابق في جهاز مكافحة التجسس الفرنسي لوي كابريولي في مقابلة أجرتها معه قناة ""روسيا اليوم"" إن المعلومات الاستخباراتية تؤكد وجود مشروع ارهابي كبير قد ينفذ ضد عدد من الدول الاوروبية بما فيها فرنسا والمانيا وبريطانيا.",1,arabic.rt.com
كشفت مذكرات ألبرت آينشتاين الشخصية عن مواقفه العنصرية تجاه الأجانب الذين التقى بهم في رحلاته.,1,arabic.rt.com
صرح ألكسندر غروشكو مندوب روسيا الدائم لدى حلف الناتو أن الحلف يجب أن يدرك بأن محاولاته لحشد القوة ضد روسيا غير بناءة، ولا آفاق لها.,1,arabic.rt.com
أعلنت النيابة العامة الأوزبكية، أنها قررت إحالة غولنارا كريموف ابنة الرئيس الراحل إسلام كريموف إلى السجن، بعد خرقها شروط الإقامة الجبرية في منزل ابنتها.,1,arabic.rt.com
يستقبل وزير الخارجية الروسي، سيرغي لافروف، غدا الثلاثاء، في موسكو، وفدا من أعضاء الكونغرس الأمريكي في إطار زيارة رسمية إلى روسيا.,1,arabic.rt.com
أفادت صحيفة الخبر الجزائرية الصادرة اليوم السبت أن وزراء الدفاع لعشر دول متوسطية سيجتمعون الثلاثاء المقبل في أول لقاء من نوعه لوزراء دفاع ما يعرف بدول 5+5. ونسبت الصحيفة إلى الناطق الرسمي باسم وزارة الدفاع الفرنسية أن هذا الاجتماع سيدرس مجالات التعاون بخصوص الدفاع والأمن.,1,aljazeera.net
"حذرت ""اللجنة الوطنية لتقنين المحتوى الأخلاقي لتقنية المعلومات"" في السعودية من أن إنشاء المواد والبيانات المتعلقة بالشبكات الإباحية أو الميسر أو نشرها أو ترويجها تعرض مرتكبها للسجن.",1,arabic.rt.com
"اسفرت عملية خاصة اجرته اجهزة الامن في داغستان عن تصفية 5 مسلحين كانوا يشكلون ""جماعة اسرابيل فاليجانوف"" الذي يدعى ""الامير حسن"" قائد جبهة داغستان وواليها. اورد هذا النبأ يوم 16 سبتمبر/ايلول الناطق باسم المركز الوطني الروسي لمكافحة الارهاب.",1,arabic.rt.com
تحذير | ادوية ومسكنات محظور استخدامها تسبب تنشيط فيروس كورونا الرجاء توخي الحذر ⚠️,0,fatabyyano
"قرر صناع فيلم ""ابتسم أنت في مصر"" تغيير اسم العمل السينمائي المصري إلى ""ماتريوشكا""، وذلك قبيل عرضه في دور السينما بأسابيع قليلة.",1,arabic.rt.com
مراهق انغولي يطلق النار على والده وقتله، بسبب خلاف بينهما على لقاء قمة دوري اسبانيا بين ريال مدريد وبرشلونة المقرر السبت.,1,bbc.com
تحذير: استخدم اذنك اليسرى للحديث في الموبايل لأن التحدث بالأذن اليمنى سيجعل موجات الهاتف تؤثر بشكل مباشر على دماغك، والأفضل تستخدموا سماعات.,0,fatabyyano
"مشروع قانون كورونا بدأ في 24/1/2019 لو تم إثبات الأمر يجيب على كل الحكومات و الأفراد المتضررة سواء من فقد عزيز او اقتصاديا رفع قضيه عليهم
امريكا تحضر لجائحة كورونا قبل سنة من ظهورها وقع ترامب على قانون المساعدة على مكافحة فيروسات كورونا والإغاثة والأمن الاقتصادي (قانون CARES) في *27 مارس 2020.* خمنوا متى تم طرح مشروع القانون في الكونجرس؟ *24 يناير 2019 !!! * قدم مشروع القانون في الكونغرس منذ أكثر من سنة في 24/1/19! عادة ، تستغرق مشاريع القوانين أكثر من عام لتنتقل في الكونجرس قبل أن يتم تمريرها في النهاية إلى قانون وتصبح قانونًا!حيث شق هذا القانون طريقه من خلال لجان مجلس الكونجرس ، إلى ان نوقش في المجلس في 17/7/19 ، وبعد تمريره في الكونجرس ، استمر في إنهاء طريقه إلى مجلس الشيوخ للتصديق عليه قبل أن ينتهي به المطاف في مكتب ترامب للتوقيع في *26/3/20.* أي أن الولايات المتحدة علمت بالوباء قبل حدوثه. التفاصيل في عام 2019 ، ولكن بالتأكيد الكونغرس كان على علم بذلك!",0,fatabyyano
"تحت عنوان ""انتحار مالي ينتظرنا"" قال ديفد بروكس إن الرعاية الصحية هي البنك الذي يخول أوباما تمويل الجزء الأكبر من أجندته, وإنه يأمل أن يتمكن من التغلب على القصور الذي يعانيه نظام هذه الرعاية ليعيد بذلك للنظام المالي الأميركي توازنه على المدى البعيد.",1,aljazeera.net
"حشرة غريبة تصيب البشرة بالتمزق عند لمسها
تحذير اذا شفت هاي الحشرة لاتلمسها حشرة غريبة
تنتشر هذه الايام في دول عديدة جزاكم الله خيرشارك
المنشور وحذرو عوائلكم تصيب بشرة الجسم
بالتمزق وليس لها علاج سوى البترعافاكم الله",0,fatabyyano
تواصل وحدات من الجيشين التركي والأمريكي، إجراء تدريبات مشتركة، بهدف القيام بدوريات مشتركة في المستقبل في مدينة منبج شمالي سوريا.,1,arabic.rt.com
"أفاد ناطق باسم شركة ""روس كوسموس""، في حديث أدلى به في 24 ديسمبر لوكالة ""تاس""، بأن أجهزة التحقيق الروسية تسلمت عينات مأخوذة من ثقب في مركبة ""سويوز-إم إس-09"" الروسية.",1,arabic.rt.com
قرر سجين إسرائيلي التحول جنسيا لامرأة للمرة الأولى في تاريخ إسرائيل، حيث خضع للفحص الطبي بهدف تحوله في أقرب وقت.,1,arabic.rt.com
"هاجم الرئيس الإيراني محمود أحمدي نجاد مواقف الدول الغربية تجاه نتائج الانتخابات الرئاسية في بلاده، وانتقد قرار بعضها عدم تهنئته بمناسبة فوزه بولاية ثانية. وقال في كلمة له بعد أدائه اليمين الدستورية إن الشعب الإيراني ""لا ينتظر تهنئة من أحد"".",1,aljazeera.net
"الرئيس تجننّوجه مع دموع السعادة
• ترامب احضر الدجالين ورئيسهم المغربي ليعملون له رقية وتحصين من كورونا يضحك متقلبًا على الأرض
• اذا هذا الكبير والكبير الله 
فما حاااال الصغار وجه مع دموع السعادةوجه مع دموع السعادةوجه مع دموع السعادةوجه مع دموع السعادة",0,fatabyyano
كتب تشارلز بودلير قصيدة عن وجود رائحة للموت في عام 1857 عندما كان العلماء لا يعرفون عنها شيئا، ربما ألهمت الألماني لودفيغ بريغر للكشف عن المركبات المسؤولة عنها بعد عقدين من الزمن.,1,arabic.rt.com
أكد يوري أوشاكوف، مساعد الرئيس الروسي، أن موسكو وواشنطن اتفقتا على مكان وزمان قمة بوتين - ترامب، مشيرا إلى أنه سيعلن غدا الخميس 28 يونيو عن تفاصيل القمة.,1,arabic.rt.com
"ترامب يتحدّث عن إعلان ""قريب جداً"" لقمة ثانية مع زعيم كوريا الشمالية",1,arabic.euronews.com
أعلنت المعارضة اليمنية أن قبائل حاشد التي يتزعمها صادق الأحمر والتي خاضت قتالا مع القوات الموالية للرئيس علي عبد الله صالح وافقت على الالتزام بهدنة تستمر يوما.,1,arabic.rt.com
"ألحقت شظايا الجبال الجليدية العائمة في البحر، والتي تشكلت نتيجة ذوبان الجليد في جبل ""دولك"" الجليدي الواقع في خليج ""بريدز""، أضرارا بالمحطة العلمية الروسية.",1,arabic.rt.com
خرج فريق زينيت بطرسبورغ بفوز ثمين من ملعب مضيفه كريليا سوفيتوف بهدف وحيد في اللقاء الذي جمعهما اليوم الاثنين، وذلك ضمن منافسات الجولة الـ 12 من الدوري الروسي الممتاز لكرة القدم.,1,arabic.rt.com
دعت اللجنة التنفيذية لمنظمة التحرير الفلسطينية إلى عقد مؤتمر دولي برعاية أممية من أجل الاعتراف بدولة فلسطينية، مطالبة الدول الأخرى باتخاذ تلك الخطوة.,1,arabic.rt.com
الطائر الوحيد الذي يغطي وجهه عند شرب الماء في رمضان,0,fatabyyano
أصدر الرئيس المصري عبد الفتاح السيسي، قرارا جمهوريا بالعفو عن 502 من السجناء، منهم 25 سيدة وفتاة، وعدد كبير من الشباب المعتقلين على ذمة قضايا تظاهر وتجمهر.,1,arabic.rt.com
بنجالورو (رويترز) - تماسكت أسعار الذهب يوم الثلاثاء قرب أعلى مستوى في أسبوع، حيث ألقى المستثمرون بظلال من الشك على وتيرة رفع أسعار الفائدة العام,1,arabic.euronews.com
"يختتم المركز العربي للأبحاث ودراسة السياسات اليوم المؤتمر السنوي الأول للتاريخ تحت عنوان ""دور التاريخ الشفوي.. المفهوم والمنهج وحقول البحث في المجال العربي""، الذي عقد بين 21 و23 فبراير/شباط الحالي، حيث سلط المشاركون الضوء على أهمية التاريخ الشفوي.",1,aljazeera.net
أعلنت الشرطة الإسرائيلية صباح الخميس 3 مارس/آذار عن اعتقال مواطنة فلسطينية في بلدة العوجا بمنطقة الأغوار بذريعة طعنها شرطيا إسرائيليا.,1,arabic.rt.com
"بأمر من ملك المغرب، إرسال طائرة مساعدات للمدن الإيطالية المتضررة من فايروس كورونا.
",0,misbar
"خبرنا السار جدا : 
لجنة التنسيق التابعة لمنظمة الصحة العالمية وبعد الاطلاع على التقارير ومراقبة الحالات المدروسة من تاريخ ١٠_٣_٢٠٢٠ حتى  ١_٤_٢٠٢٠ والتي تم تحليلها وبعد إجراء دراسة لمنحني الانتشار في سوريا وحصر عدد الاصابات ب عشرة حالات فقط ، تبلغ الجانب السوري أن المتوقع وفق منحنيات انتشار الحالات المسجلة لديها عالميا هو استبعاد أي انفجار أفقي للفيروس في سوريا
وتتوقع فترة لا تتجاوز ٢١ يوم لاعلان سوريا بلد ناج من انتشار وباء #covid_19",0,misbar
